# x	y	u	v	flags	mask
2.1757e-01	1.6370e+00	1.0361e+00	-2.0721e+00	0.0000e+00	0.0000e+00
4.8695e-01	1.6370e+00	1.0361e+00	-2.0296e+00	0.0000e+00	0.0000e+00
7.5632e-01	1.6370e+00	1.0267e+00	-2.0377e+00	0.0000e+00	0.0000e+00
1.0257e+00	1.6370e+00	1.0713e+00	-2.0369e+00	0.0000e+00	0.0000e+00
1.2951e+00	1.6370e+00	1.0708e+00	-2.0721e+00	0.0000e+00	0.0000e+00
1.5644e+00	1.6370e+00	1.0361e+00	-2.0721e+00	0.0000e+00	0.0000e+00
1.8338e+00	1.6370e+00	9.3653e-01	-2.0371e+00	0.0000e+00	0.0000e+00
2.1032e+00	1.6370e+00	1.0336e+00	-2.0416e+00	1.0000e+00	0.0000e+00
2.3726e+00	1.6370e+00	1.0361e+00	-2.0721e+00	0.0000e+00	0.0000e+00
2.6419e+00	1.6370e+00	1.2209e+00	-2.0518e+00	0.0000e+00	0.0000e+00
2.9113e+00	1.6370e+00	1.0361e+00	-2.0564e+00	0.0000e+00	0.0000e+00
3.1807e+00	1.6370e+00	1.0161e+00	-2.0480e+00	0.0000e+00	0.0000e+00
3.4501e+00	1.6370e+00	1.0499e+00	-2.0582e+00	0.0000e+00	0.0000e+00
3.7194e+00	1.6370e+00	1.0361e+00	-2.0497e+00	0.0000e+00	0.0000e+00
3.9888e+00	1.6370e+00	1.0648e+00	-2.0893e+00	0.0000e+00	0.0000e+00
4.2582e+00	1.6370e+00	1.0361e+00	-2.0721e+00	0.0000e+00	0.0000e+00
4.5276e+00	1.6370e+00	1.0115e+00	-2.0483e+00	0.0000e+00	0.0000e+00
4.7969e+00	1.6370e+00	1.0581e+00	-2.0721e+00	0.0000e+00	0.0000e+00
5.0663e+00	1.6370e+00	1.0361e+00	-1.9839e+00	0.0000e+00	0.0000e+00
2.1757e-01	1.3676e+00	1.0361e+00	-2.0721e+00	0.0000e+00	0.0000e+00
4.8695e-01	1.3676e+00	1.0361e+00	-2.0565e+00	0.0000e+00	0.0000e+00
7.5632e-01	1.3676e+00	9.5095e-01	-1.9946e+00	0.0000e+00	0.0000e+00
1.0257e+00	1.3676e+00	1.0443e+00	-2.0365e+00	0.0000e+00	0.0000e+00
1.2951e+00	1.3676e+00	1.0885e+00	-2.0360e+00	0.0000e+00	0.0000e+00
1.5644e+00	1.3676e+00	1.0717e+00	-2.0331e+00	0.0000e+00	0.0000e+00
1.8338e+00	1.3676e+00	1.0045e+00	-2.0615e+00	0.0000e+00	0.0000e+00
2.1032e+00	1.3676e+00	9.7651e-01	-2.0426e+00	0.0000e+00	0.0000e+00
2.3726e+00	1.3676e+00	1.0236e+00	-2.0573e+00	0.0000e+00	0.0000e+00
2.6419e+00	1.3676e+00	1.0493e+00	-2.0008e+00	0.0000e+00	0.0000e+00
2.9113e+00	1.3676e+00	1.0351e+00	-2.0974e+00	0.0000e+00	0.0000e+00
3.1807e+00	1.3676e+00	1.0361e+00	-1.8357e+00	0.0000e+00	0.0000e+00
3.4501e+00	1.3676e+00	1.0235e+00	-2.0390e+00	0.0000e+00	0.0000e+00
3.7194e+00	1.3676e+00	1.0520e+00	-2.0884e+00	0.0000e+00	0.0000e+00
3.9888e+00	1.3676e+00	1.0577e+00	-1.9933e+00	0.0000e+00	0.0000e+00
4.2582e+00	1.3676e+00	1.0361e+00	-2.0721e+00	0.0000e+00	0.0000e+00
4.5276e+00	1.3676e+00	9.2486e-01	-2.0136e+00	0.0000e+00	0.0000e+00
4.7969e+00	1.3676e+00	1.0361e+00	-2.0721e+00	0.0000e+00	0.0000e+00
5.0663e+00	1.3676e+00	9.8370e-01	-1.9921e+00	0.0000e+00	0.0000e+00
2.1757e-01	1.0982e+00	1.0361e+00	-2.0559e+00	0.0000e+00	0.0000e+00
4.8695e-01	1.0982e+00	1.0309e+00	-2.0398e+00	0.0000e+00	0.0000e+00
7.5632e-01	1.0982e+00	1.0236e+00	-2.0422e+00	0.0000e+00	0.0000e+00
1.0257e+00	1.0982e+00	9.4711e-01	-2.0721e+00	0.0000e+00	0.0000e+00
1.2951e+00	1.0982e+00	1.0105e+00	-2.0721e+00	0.0000e+00	0.0000e+00
1.5644e+00	1.0982e+00	1.0069e+00	-1.9444e+00	0.0000e+00	0.0000e+00
1.8338e+00	1.0982e+00	1.0467e+00	-2.0151e+00	0.0000e+00	0.0000e+00
2.1032e+00	1.0982e+00	1.0712e+00	-2.0529e+00	0.0000e+00	0.0000e+00
2.3726e+00	1.0982e+00	1.0361e+00	-2.0365e+00	0.0000e+00	0.0000e+00
2.6419e+00	1.0982e+00	1.0169e+00	-2.0149e+00	0.0000e+00	0.0000e+00
2.9113e+00	1.0982e+00	1.0474e+00	-2.0721e+00	0.0000e+00	0.0000e+00
3.1807e+00	1.0982e+00	1.0361e+00	-2.0567e+00	0.0000e+00	0.0000e+00
3.4501e+00	1.0982e+00	1.0362e+00	-2.0517e+00	0.0000e+00	0.0000e+00
3.7194e+00	1.0982e+00	1.0551e+00	-2.0447e+00	0.0000e+00	0.0000e+00
3.9888e+00	1.0982e+00	1.0361e+00	-2.0468e+00	0.0000e+00	0.0000e+00
4.2582e+00	1.0982e+00	1.1009e+00	-2.0721e+00	0.0000e+00	0.0000e+00
4.5276e+00	1.0982e+00	1.0785e+00	-2.0721e+00	0.0000e+00	0.0000e+00
4.7969e+00	1.0982e+00	1.0934e+00	-2.0407e+00	0.0000e+00	0.0000e+00
5.0663e+00	1.0982e+00	1.0361e+00	-2.0390e+00	0.0000e+00	0.0000e+00
2.1757e-01	8.2884e-01	1.0105e+00	-2.0913e+00	0.0000e+00	0.0000e+00
4.8695e-01	8.2884e-01	1.0561e+00	-2.0721e+00	0.0000e+00	0.0000e+00
7.5632e-01	8.2884e-01	1.1086e+00	-1.8785e+00	0.0000e+00	0.0000e+00
1.0257e+00	8.2884e-01	1.0027e+00	-2.0385e+00	0.0000e+00	0.0000e+00
1.2951e+00	8.2884e-01	9.5754e-01	-2.0416e+00	0.0000e+00	0.0000e+00
1.5644e+00	8.2884e-01	1.0361e+00	-2.0721e+00	0.0000e+00	0.0000e+00
1.8338e+00	8.2884e-01	1.0554e+00	-2.0721e+00	0.0000e+00	0.0000e+00
2.1032e+00	8.2884e-01	1.0361e+00	-2.0328e+00	0.0000e+00	0.0000e+00
2.3726e+00	8.2884e-01	1.0361e+00	-2.0409e+00	0.0000e+00	0.0000e+00
2.6419e+00	8.2884e-01	1.0361e+00	-2.0721e+00	0.0000e+00	0.0000e+00
2.9113e+00	8.2884e-01	9.4235e-01	-2.0721e+00	0.0000e+00	0.0000e+00
3.1807e+00	8.2884e-01	1.0361e+00	-2.0169e+00	0.0000e+00	0.0000e+00
3.4501e+00	8.2884e-01	1.0713e+00	-1.9738e+00	0.0000e+00	0.0000e+00
3.7194e+00	8.2884e-01	1.1064e+00	-2.0280e+00	0.0000e+00	0.0000e+00
3.9888e+00	8.2884e-01	1.0411e+00	-2.0338e+00	0.0000e+00	0.0000e+00
4.2582e+00	8.2884e-01	1.0521e+00	-2.0110e+00	0.0000e+00	0.0000e+00
4.5276e+00	8.2884e-01	1.0595e+00	-2.0085e+00	0.0000e+00	0.0000e+00
4.7969e+00	8.2884e-01	1.0361e+00	-1.9343e+00	0.0000e+00	0.0000e+00
5.0663e+00	8.2884e-01	1.3749e+00	-2.0182e+00	0.0000e+00	0.0000e+00
2.1757e-01	5.5947e-01	1.0871e+00	-2.0559e+00	0.0000e+00	0.0000e+00
4.8695e-01	5.5947e-01	1.0307e+00	-2.0475e+00	0.0000e+00	0.0000e+00
