# x	y	u	v	flags	mask
3.4811e+00	1.6680e+00	5.7115e-01	5.2122e+00	0.0000e+00	0.0000e+00
3.6884e+00	1.6680e+00	6.6409e-01	1.5080e+00	0.0000e+00	0.0000e+00
3.8956e+00	1.6680e+00	-6.2409e-03	8.2527e-02	1.0000e+00	0.0000e+00
4.1028e+00	1.6680e+00	2.0706e+00	-2.3664e+00	0.0000e+00	0.0000e+00
4.3100e+00	1.6680e+00	-1.5977e+00	-5.3728e+00	0.0000e+00	0.0000e+00
4.5172e+00	1.6680e+00	3.3403e+00	-6.3260e+00	0.0000e+00	0.0000e+00
4.7244e+00	1.6680e+00	2.0674e-01	-2.6034e-02	1.0000e+00	0.0000e+00
4.9316e+00	1.6680e+00	-5.9929e+00	-2.1355e+00	0.0000e+00	0.0000e+00
5.1388e+00	1.6680e+00	5.8289e+00	3.2990e+00	0.0000e+00	0.0000e+00
5.3460e+00	1.6680e+00	2.2013e+00	3.2865e+00	0.0000e+00	0.0000e+00
5.5533e+00	1.6680e+00	-6.1629e+00	3.0847e+00	0.0000e+00	0.0000e+00
5.7605e+00	1.6680e+00	-1.5063e+00	3.0596e+00	0.0000e+00	0.0000e+00
5.9677e+00	1.6680e+00	2.6860e-01	-3.4540e-01	1.0000e+00	0.0000e+00
6.1749e+00	1.6680e+00	1.8545e-01	-3.2893e-01	1.0000e+00	0.0000e+00
6.3821e+00	1.6680e+00	5.0485e+00	-6.2024e+00	0.0000e+00	0.0000e+00
6.5893e+00	1.6680e+00	6.8259e-01	-2.4276e-01	1.0000e+00	0.0000e+00
6.7965e+00	1.6680e+00	2.3008e-01	-4.2042e-01	1.0000e+00	0.0000e+00
7.0037e+00	1.6680e+00	1.5018e+00	2.6885e-02	0.0000e+00	0.0000e+00
7.2109e+00	1.6680e+00	-3.1814e+00	5.2379e+00	0.0000e+00	0.0000e+00
7.4182e+00	1.6680e+00	-5.6605e-01	8.5097e-01	1.0000e+00	0.0000e+00
7.6254e+00	1.6680e+00	-2.7564e+00	4.5549e+00	0.0000e+00	0.0000e+00
7.8326e+00	1.6680e+00	-6.9876e-01	1.1054e+00	1.0000e+00	0.0000e+00
8.0398e+00	1.6680e+00	-1.0386e+00	9.6958e-01	1.0000e+00	0.0000e+00
8.2470e+00	1.6680e+00	-1.1610e+00	1.3544e+00	1.0000e+00	0.0000e+00
8.4542e+00	1.6680e+00	2.2177e+00	-4.6179e+00	0.0000e+00	0.0000e+00
8.6614e+00	1.6680e+00	-6.3921e+00	7.5392e-01	0.0000e+00	0.0000e+00
8.8686e+00	1.6680e+00	-4.6625e+00	1.6638e+00	0.0000e+00	0.0000e+00
9.0758e+00	1.6680e+00	-9.5462e-01	-4.6725e+00	0.0000e+00	0.0000e+00
9.2831e+00	1.6680e+00	-1.5853e+00	5.7216e-01	1.0000e+00	0.0000e+00
9.4903e+00	1.6680e+00	-1.3797e+00	7.3729e-01	1.0000e+00	0.0000e+00
9.6975e+00	1.6680e+00	-1.0227e+00	5.2152e-01	1.0000e+00	0.0000e+00
9.9047e+00	1.6680e+00	3.2113e+00	3.6691e+00	0.0000e+00	0.0000e+00
1.0112e+01	1.6680e+00	-7.5660e-01	9.0657e-01	1.0000e+00	0.0000e+00
1.0319e+01	1.6680e+00	-5.2992e-01	8.1500e-01	1.0000e+00	0.0000e+00
1.0526e+01	1.6680e+00	-4.6395e-01	1.2791e+00	1.0000e+00	0.0000e+00
1.0734e+01	1.6680e+00	-6.0267e+00	3.8311e+00	0.0000e+00	0.0000e+00
1.0941e+01	1.6680e+00	-6.9003e-01	1.2816e+00	1.0000e+00	0.0000e+00
1.1148e+01	1.6680e+00	-7.5912e-01	1.3506e+00	1.0000e+00	0.0000e+00
1.1355e+01	1.6680e+00	-5.8029e+00	1.5306e+00	0.0000e+00	0.0000e+00
